- Recover from Injury	- 怪我からの回復
You have been accused of invoking unholy arcana. {LF}{LF}What say you to these charges?	你被指控施展邪恶秘法。{LF}{LF}对这些控诉你有何辩解？
, you stand accused before the court. Know you the charges brought against you?”	你现立于法庭被告席。你可知自己所被指控的罪名？”
You have been accused of killing your countrymen in cold blood. {LF}{LF}What say you to these charges?	你被指控冷血杀害同胞。{LF}{LF}对这些控诉你有何辩解？
The person who rescues you reveals themselves here.	营救你的人在此现身。
No, I am not	不，我不是。
With typical, soulless obedience, your puppet follows you out into the morning light as you set out to find a way to get off of this accursed island.	带着一如既往、毫无灵魂的服从，你的傀儡跟随你步入晨光，你们动身寻找离开这座诅咒之岛的方法。
Vankan has long-range magic attacks, but poor melee and poor defense.{LF}{LF}Recommendation : split between FIGHT and GUARD so you can keep enemies focused on you, and have Vankan support.	万坎擅长远程魔法攻击，但近战与防御能力薄弱。{LF}{LF}建议：在“战斗”与“守卫”间分配点数，以便吸引敌人火力，并由万坎提供支援。
Weave{LF}	编织{LF}
nods and turns toward the hall.{LF}{LF}”Let's not waste any more time then.”	点头转向大厅。{LF}{LF}“那我们别再浪费时间了。”
nods and turns toward the hall. {LF}{LF}”Let's go then.”	点头转向大厅。{LF}{LF}“那走吧。”
nods and turns toward the hall.{LF}{LF}”That'll do fine. We just have to watch each other's backs until we're clear.”	点头转向大厅。{LF}{LF}“这样就行。我们只需在脱险前互相照应。”
nods and turns toward the hall.{LF}{LF}”This should be interesting then.”	点头转向大厅。{LF}{LF}“那这下可有意思了。”
nods and turns toward the hall.{LF}{LF}”They'll be upon us soon. We should go.”	点头转向大厅。{LF}{LF}“他们很快会追来。我们得走了。”
nods and turns toward the hall.{LF}{LF}”Good to know. I'm ready if you are.”	点头转向大厅。{LF}{LF}“很好。你若准备好了，我也随时可以。”
nods and turns toward the hall.{LF}{LF}”We should move while we still have surprise on our side.”	点头转向大厅。{LF}{LF}“我们该趁奇袭优势尚在时行动。”
nods and turns toward the hall.{LF}{LF}”There are just a few guards and locks between us and the exit.”	点头转向大厅。{LF}{LF}“我们和出口之间，只隔着几个守卫和几道锁。”
nods and turns toward the hall.{LF}{LF}”Well, there's no turning back now.”	点头转向大厅。{LF}{LF}“好吧，现在已无退路了。”
nods and turns toward the hall.{LF}{LF}”Well, I hope you're ready to use it.”	点头转向大厅。{LF}{LF}“好吧，希望你已准备好动用它了。”
nods and turns toward the hall.{LF}{LF}”Don't worry, between the two of us, we'll be fine.”	点头转向大厅。{LF}{LF}“别担心，有我俩在，没问题。”
You, Orc, have been accused of polluting the race of man with your own flesh. {LF}{LF}What say you to these charges?	兽人，你被指控以自身血肉玷污人类血脉。{LF}{LF}对这些控诉你有何辩解？
Options	选项
Guard{LF}	守卫{LF}
joined your band.	加入了你的队伍。
Guile{LF}	诡诈{LF}
Attempting to load cutscene for	正尝试为以下内容加载过场动画：
is charismatic and likeable.	富有魅力，讨人喜欢。
The character was not defined, no nude skin possible.	角色未定义，无法使用裸体皮肤。
Character Template	角色模板
Show maximum HP numerically on character stats	在角色状态栏中显示最大生命值数值
Did you know you can customize your characters' sprites completely?{LF}Check the Readme.txt for details.	您知道可以完全自定义角色精灵图吗？{LF}详情请参阅 Readme.txt 文件。
Some characters hate each other, and cannot be in your band together.	部分角色相互憎恶，无法同时加入你的队伍。
Kirilo will inflict powerful critical hits, but his defense is low.{LF}{LF}Recommendation : split your points between GUARD and WARD evenly so you fight on the front line while keeping Kirilo's health up.	基里罗能造成强力的暴击，但防御力低。{LF}{LF}建议：在“守卫”与“庇护”间平均分配点数，以便你在前线作战的同时维持基里罗的生命值。
Parsing crafting recipes	正在解析制作配方
Creatures take damage whenever they begin a turn next to you.	生物每当在你身旁开始回合时都会受到伤害。
Creatures accumulate risk whenever they begin a turn next to you.	每当生物在你的邻接格开始回合时，它们就会积累风险值。
Creatures accumulate risk whenever they begin a turn next to you, {LF}and they may sometimes fumble when making normal attacks against you.	每当生物在你的邻接格开始回合时，{LF}它们对你进行普通攻击时偶尔会失手。
Creatures accumulate risk whenever they begin a turn next to you, {LF}and your normal attacks may sometimes cause your enemies to fumble.	每当生物在你的邻接格开始回合时，{LF}你的普通攻击偶尔会让敌人陷入“失手”状态。
Greave has good defense and decent attacks.{LF}{LF}Recommendation : any combination of abilities can be effective with Greave.	格里夫防御出色，攻击也不俗。{LF}{LF}推荐：格里夫搭配任何技能组合都能发挥效果。
Click and hold to trigger reckless actions	点击并按住以触发鲁莽行动
Whenever you score a critical hit, your target immediately gains the 'Fumble' status.	每当你打出暴击时，目标会立刻陷入“失手”状态。
Improves your chances of landing a critical hit and increases the {LF}damage it deals. Works with both weapons and magic.	提升暴击几率并增加暴击{LF}伤害。对武器和魔法均有效。
You score critical hits more often.	你更频繁地打出暴击。
Credits	制作人员
Crest and Tsarath both count humans and orcs among their citizens.{LF}Before your incarceration, you were a citizen of Crest.	克雷斯特和察拉斯两国都有人类和兽人公民。{LF}在你入狱之前，你是克雷斯特的公民。
And so, the cutscene engine was created, and the world was treated to the wondrous delights of cutscenes. Multiple lines were used. |Pages were divided by using pipes, a structure many were already familiar with.	就这样，过场动画引擎诞生了，世界得以享受过场动画带来的奇妙乐趣。多行文本被采用。|页面用竖线分隔，这种结构许多人早已熟悉。
This zombie is not very sturdy or very useful, but it will have to do.{LF}{LF}Recommendation : any combination of abilities will compliment the zombie, but GUARD and WARD skills give you more survivability.	这只僵尸不算结实也不算好用，但只能将就了。{LF}{LF}推荐：任何技能组合都能与僵尸配合，但GUARD和WARD技能能提高生存能力。
This door has been unlatched.	这扇门已经解锁了。
Add an exit before exploring this map.	探索此地前请先设置出口。
This task is clearly outside the range of your ability, and you would only injure yourself for the attempt. You'd best have another, more qualified person attempt this.	这任务明显超出你的能力范围，硬来只会受伤。你最好找更合适的人来尝试。
The spell generates a piece of Moist Cake!	法术生成了一块湿润的蛋糕！
Enter{LF}Location	进入{LF}地点
There is no salvation for you in this world. You shall be blinded, your tongue cut, and your sin purged in Holy flame.	此世已无你的救赎。你将被刺瞎双眼，割去舌头，在圣焰中涤净罪孽。
This setting does not affect in-game content	此设置不影响游戏内容
This choice determines your character's personality type. This affects in-game banter, as well as the dialogue your character will use when appearing in other users' games.	这个选择决定你角色的性格类型。这会影响游戏内的闲聊对话，以及你的角色在其他玩家游戏中出现时的台词。
This choice influences the availability of party members and personal traits.	这个选择会影响可招募的队友和个人特质。
We've got quite a long journey ahead of us, right? I sure want to be off this damned island, but we should probably take it slow, make sure we're well-fed and sheltered, yeah? I ain't much of a warrior, but I know a thing or two about holding down a fort. {LF}{LF}We can hole up just about anywhere, as long as we've got enough hands to manage supplies and defense. This place, for instance, it ain't great, but it's a decent enough shelter, and we can always relocate if we find something better.{LF}{LF}You just say the word, and I'll make the preparations.”	咱们前路还长着呢，对吧？我确实想早点离开这鬼岛，但最好还是稳扎稳打，确保吃饱住好，对吧？我不是什么厉害战士，但守据点还是懂点的。{LF}{LF}只要人手够管物资和防守，哪儿都能当据点。比如这儿，不算多好，但凑合能住，找到更好的地方随时能搬。{LF}{LF}你一声令下，我来准备。”
